Message,Category
"Your computing machine HA angstro gle angstrom virus, salary for service now.",Tech Support Scam
Immediate payment be call f or to avoid foster charges.,Debt Collection Scam
Your electronic computer hour angle   for technical school support immediately.,Tech Support Scam
salary me money Beaver State I'll release your private photos.,Extortion Scam
You need to transportation the finances as quest past HR.,Workplace Harassment Scam
Immediate payment be ask  r we’ll take legal action.,Debt Collection Scam
Immediate payment be take n now or face legal action.,Debt Collection Scam
"iodine americium stick and need funds, assistance Pine Tree State out.",Romance Scam
Send me the money Oregon I'll part your icon online.,Extortion Scam
You demand to transportation t sh in hand as quest past HR.,Workplace Harassment Scam
"iodine am wedge and need funds, aid Pine Tree State out.",Romance Scam
earnings me money Oregon I'll release your private photos.,Extortion Scam
"You owe taxes, wage straightaw n the mulct Beaver State human face arrest.",Fake Law Enforcement Scam
"Your computing machine HA angstro  virus, remuneration for service now.",Tech Support Scam
You demand to transportation the funds arsenic request past HR.,Workplace Harassment Scam
The Federal Bureau of Investigation be after you for neration the fine Oregon face arrest.,Fake Law Enforcement Scam
"You owe money, salary now er State face legal action.",Debt Collection Scam
direct Maine the money or I'll portion your picture online.,Extortion Scam
You demand to transfer the finances arsenic request by HR.,Workplace Harassment Scam
You demand to transferral the cash in hand as quest by HR.,Workplace Harassment Scam
Send Maine the money or I'll portion your picture online.,Extortion Scam
Send Maine the money Beaver State I'll portion your image online.,Extortion Scam
"The Federal Bureau of Investigation be after you f for fraud, remuneration the mulct or face arrest.",Fake Law Enforcement Scam
"iodine atomic number 95 lodge and demand funds, assist Pine Tree State out.",Romance Scam
Immediate payment be ask   or face legal action.,Debt Collection Scam
You demand to transportation the finan  hand atomic number 33 call for by HR.,Workplace Harassment Scam
You need to transport the pecuniary resource atomic number 33 quest past HR.,Workplace Harassment Scam
"You owe money, earnings now Beav n now or face legal action.",Debt Collection Scam
Send Pine Tree State the money or I'll share your picture online.,Extortion Scam
"You owe money, earnings now O or to avoid further charges.",Debt Collection Scam
Immediate payment be take  Beaver State face legal action.,Debt Collection Scam
"Your computing machine hour angle a m HA a virus, pay for service now.",Tech Support Scam
"The Federal Bureau of Investigation be after you for fraud, earnings the mulct Oregon human face arrest.",Fake Law Enforcement Scam
You need to transportation the finances atomic number 33 bespeak past HR.,Workplace Harassment Scam
Send me the money or I'll part your ikon online.,Extortion Scam
The Federal Bureau of Investigation be after yo  to avoid legal consequences.,Fake Law Enforcement Scam
"atomic number 53 atomic number 95 deposit and demand funds, help Maine out.",Romance Scam
Send me the money Beaver State I'll portion your picture online.,Extortion Scam
direct me the money or I' I'll portion your ikon online.,Extortion Scam
Immediate payment be need on human face legal action.,Debt Collection Scam
direct me the money Oregon I'll portion your ikon online.,Extortion Scam
wage Pine Tree State money Beaver State I'll release your common soldier photos.,Extortion Scam
direct Maine the money or I'll share your picture online.,Extortion Scam
"You owe taxes, earnings forthwi  to avoid legal consequences.",Fake Law Enforcement Scam
"Your computing machine hour angle a  gstrom unit virus, wage for service now.",Tech Support Scam
"Your electronic computer HA angstrom virus, pay for service now.",Tech Support Scam
"iodin am lodge and demand funds, assist me out.",Romance Scam
earnings me money Beaver State I  I'll percentage your icon online.,Extortion Scam
You need to transportation the cash in hand arsenic bespeak by HR.,Workplace Harassment Scam
Your computing device hour angle angs ary for tech support immediately.,Tech Support Scam
Immediate payment be postula w or face legal action.,Debt Collection Scam
"I am lodge and demand funds  funds, assistance Maine out.",Romance Scam
Send Maine the money Beaver State I'll share your image online.,Extortion Scam
"iodine americium stick and demand funds, aid me out.",Romance Scam
salary Maine money Oregon I'll release your private photos.,Extortion Scam
You demand to conveyance the funds atomic number 33 call for past HR.,Workplace Harassment Scam
Immediate payment be take ate to avoid further charges.,Debt Collection Scam
"The FBI be after you for fraud, pay  to avoid legal consequences.",Fake Law Enforcement Scam
"Your boss be asking for sensitive information, send it now.",Workplace Harassment Scam
Immediate payment be take r we’ll take legal action.,Debt Collection Scam
"The FBI be after you for fraud, sala for fraud, earnings the mulct Oregon face arrest.",Fake Law Enforcement Scam
"The FBI be after you for fraud, sala or fraud, remuneration the fine Oregon face arrest.",Fake Law Enforcement Scam
"The FBI be after you for fraud, pay  fraud, earnings the mulct Oregon human face arrest.",Fake Law Enforcement Scam
direct Pine Tree State the money Beaver l release your buck private photos.,Extortion Scam
direct Maine the money Oregon I'll share your image online.,Extortion Scam
"You owe money, wage now Beaver ate to avoid foster charges.",Debt Collection Scam
Immediate payment be necessi r State human face legal action.,Debt Collection Scam
"Your data processor hour angle ang  unit virus, wage for service now.",Tech Support Scam
"You owe taxes, pay instantly nce to avoid legal consequences.",Fake Law Enforcement Scam
Your computer is infected. ings for tech support immediately.,Tech Support Scam
You need to transportation the finances atomic number 33 call for past HR.,Workplace Harassment Scam
You demand to conveyance the monetary resource arsenic quest past HR.,Workplace Harassment Scam
"Your chronicle be compromised, wage fo ngstrom virus, earnings for service now.",Tech Support Scam
wage Pine Tree State money Oregon I'll release your buck private photos.,Extortion Scam
"The Federal Bureau of Investigation be after yo r fraud, earnings the fine Oregon human face arrest.",Fake Law Enforcement Scam
"iodine am stick and demand funds, assist Maine out.",Romance Scam
"Your foreman be asking for sensitive information, send it now.",Workplace Harassment Scam
"I am lodge and demand funds, assistance me out.",Romance Scam
"iodin americium lodge and need funds, assist Pine Tree State out.",Romance Scam
"Your computer HA a virus, n for technical school support immediately.",Tech Support Scam
"Your data processor hour angle ngstrom virus, earnings for service now.",Tech Support Scam
"The FBI be after you for fraud, e to avoid legal consequences.",Fake Law Enforcement Scam
Your computing device hour angle a  n for technical school support immediately.,Tech Support Scam
"iodine atomic number 95 lodge and need funds, assistance me out.",Romance Scam
Send me the money or I'll portion your icon online.,Extortion Scam
